ID,STATUS,ARRIVAL_COST,DEPARTURE_COST,ARRIVAL_DATE,DEPARTURE_DATE,AIRCRAFT_ID,ROUTE_ID,TOTAL_FUEL_COST
1,DELAYED,49535,33230,23/11/2019,23/11/2019,127,1426,1585025
2,TAKEOFF,93080,79601,16/01/2021,15/01/2021,71,909,1610406
3,ARRIVED,30583,73451,18/09/2015,18/09/2015,6,597,1987327
4,WAITING FOR DEPARTURE,56123,86851,,,30,899,1362807
5,ARRIVED,61699,78439,22/08/2018,21/08/2018,53,845,1732819
6,DELAYED,71266,53603,18/06/2020,18/06/2020,71,1200,1228414
7,DELAYED,51129,80393,27/05/2017,26/05/2017,55,1152,1230300
8,TAKEOFF,51431,63415,15/01/2017,14/01/2017,72,239,1970993
9,ARRIVED,50709,39858,11/05/2020,10/05/2020,112,838,1402947
10,TAKEOFF,41770,88212,20/01/2022,19/01/2022,106,300,1187361
11,ARRIVED,59670,31207,29/06/2021,28/06/2021,60,750,1135857
12,ARRIVED,44342,30893,29/09/2019,29/09/2019,188,183,1056650
13,TAKEOFF,63325,68880,06/05/2017,06/05/2017,177,164,1471831
14,CANCELLED,77451,86146,,,61,594,1638715
15,TAKEOFF,81452,90480,01/05/2016,30/04/2016,83,292,1629775
16,DELAYED,63496,49591,25/12/2015,24/12/2015,133,1993,1560127
17,DELAYED,60487,61386,05/11/2018,05/11/2018,88,733,1924402
18,ARRIVED,78224,95031,23/05/2019,22/05/2019,178,1024,1180635
19,DELAYED,50054,70786,26/09/2019,25/09/2019,86,636,1285715
20,ARRIVED,78313,58826,16/06/2016,16/06/2016,176,103,1811261
21,ARRIVED,61922,31931,06/02/2022,06/02/2022,101,664,1371425
22,WAITING FOR DEPARTURE,44186,94150,,,101,1393,1475006
23,WAITING FOR DEPARTURE,57939,70455,,,31,1977,1966680
24,CANCELLED,55406,68785,,,38,1436,1721050
25,DELAYED,73804,55834,04/04/2022,04/04/2022,24,692,1770446
26,WAITING FOR DEPARTURE,78378,65604,,,4,1451,1895772
