"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
2354,"Buta Airways",30,71,69,55,1037,166,517,723,13,1981
2355,"WestJet",34,84,43,117,1133,307,882,1234,13,2001
2356,"Azul Airlines",38,76,46,70,809,134,301,421,6,2009
2357,"Sky Airline",24,103,77,66,908,111,212,296,18,2012
2358,"Japan Airlines",28,85,77,83,1081,129,215,301,16,2012
2359," Gulf Air",28,96,76,66,1009,214,687,961,8,1981
2360,"Lufthansa",20,118,61,70,1114,146,355,497,24,1981
2361,"Vistara",25,53,35,78,954,184,493,690,10,2003
2362,"Swiss International Air Lines",39,66,46,89,861,257,782,1094,11,2010
2363,"Southwest Airlines",28,89,34,73,912,150,361,505,9,2017
2364,"AirAsia",22,115,55,91,1268,211,557,779,8,2000
2365,"EVA Air",21,83,38,98,1038,157,276,386,25,1989
2366,"American Eagle",22,88,38,68,1214,140,338,473,22,2003
2367,"Buta Airways",24,92,41,67,1119,101,162,226,16,2008
2368,"Malaysia Airlines",32,90,76,114,997,181,312,436,20,1995
2369,"Quatar Airways",27,110,34,66,1004,147,376,526,15,1991
2370,"Japan Airlines",36,74,30,86,1299,234,689,964,24,2012
2371,"Iberia",32,80,55,109,1062,273,764,1069,6,2008
2372,"Air Astana",36,77,37,55,843,117,291,407,17,1989
2373,"Delta Air Lines",33,114,54,109,828,232,572,800,11,1997
2374,"Lufthansa",35,67,69,104,1049,287,850,1190,14,2015
2375,"Singapore Airlines",35,72,43,84,1275,130,216,302,13,1986
2376,"Cathay Pacific Airways",40,77,67,102,998,261,738,1033,19,2016
2377,"LATAM",40,114,61,106,1092,297,887,1241,5,2020
2378,"Ethiopian Airlines",30,120,36,85,848,231,679,950,14,2012
2379,"Eurowings",23,51,66,66,808,195,598,837,15,1988
2380,"China Southern Airlines",36,114,64,95,1133,250,720,1008,5,1988
2381,"WestJet",38,94,80,95,954,132,174,243,18,1993
2382,"WestJet",38,85,42,92,900,210,548,767,13,1999
2383,"Finnair",34,63,68,94,814,259,767,1073,15,1988
2384,"Copa Airlines",35,109,49,76,1277,270,899,1258,4,2008
2385,"Malaysia Airlines",27,105,72,115,1193,240,582,814,20,2019
