ID,AIRLINE_ID,AIRPLANE_ID,CREW_ID,FLIGHT_NUMBER,PURCHASED_TICKETS,DEPARTURE_TIME,ARRIVAL_TIME,FLIGHT_LENGTH,PLACE_OF_DEPARTURE_ID,PLACE_OF_ARRIVAL_ID,DISTANCE,DELAY,STATUS
1,1284,8,50,181,417,"30/04/2021, 19:24","30/04/2021, 23:57",16,3,3,1037,17,takeoff
2,1399,8,8,157,300,"10/10/2015, 2:54","10/10/2015, 7:20",11,21,21,2630,19,takeoff
3,1850,8,38,630,112,"12/10/2022, 19:00","13/10/2022, 11:53",8,16,16,2687,33,arrived
4,1917,5,56,533,172,"06/03/2020, 16:33","07/03/2020, 12:22",5,31,31,563,24,canceled
5,716,4,100,383,329,"16/11/2018, 8:40","17/11/2018, 7:25",4,2,2,4052,32,waiting for departure
6,950,8,53,643,356,"28/04/2021, 7:33","28/04/2021, 9:39",17,14,14,4752,42,canceled
7,1392,3,62,509,214,"14/12/2019, 19:39","15/12/2019, 1:41",9,30,30,510,23,delayed
8,747,3,75,904,270,"30/04/2015, 9:56","30/04/2015, 15:17",18,13,13,4787,16,arrived
9,263,2,75,479,139,"19/06/2019, 15:10","20/06/2019, 14:37",19,15,15,633,8,takeoff
10,1995,3,43,422,242,"10/12/2015, 6:20","10/12/2015, 17:05",15,6,6,3476,32,delayed
11,997,5,6,135,153,"29/01/2016, 21:27","30/01/2016, 0:09",10,21,21,2805,14,takeoff
12,1172,1,46,922,269,"03/11/2016, 1:22","03/11/2016, 14:34",18,27,27,2062,18,arrived
13,1649,4,6,903,474,"24/12/2018, 10:07","25/12/2018, 8:38",2,32,32,4540,39,takeoff
14,949,2,20,427,481,"09/10/2019, 1:41","09/10/2019, 4:00",8,19,19,1902,49,canceled
15,1160,2,82,331,155,"28/02/2018, 15:11","28/02/2018, 23:27",7,14,14,3290,26,waiting for departure
16,847,8,92,519,216,"23/02/2015, 16:37","24/02/2015, 15:00",9,31,31,2876,27,waiting for departure
17,1189,2,50,308,129,"21/05/2015, 10:31","22/05/2015, 2:02",1,20,20,3799,19,canceled
18,39,8,97,563,183,"15/12/2018, 14:00","16/12/2018, 10:30",10,29,29,373,54,canceled
19,971,1,38,726,396,"16/09/2018, 2:36","17/09/2018, 1:30",18,32,32,1749,54,delayed
20,477,7,52,126,477,"02/04/2021, 9:32","02/04/2021, 21:23",16,33,33,1140,54,canceled
21,164,4,64,552,267,"10/04/2017, 19:17","11/04/2017, 16:13",8,13,13,1923,12,takeoff
22,1751,1,5,202,111,"05/09/2022, 19:41","06/09/2022, 18:58",13,11,11,2803,3,takeoff
23,1164,3,99,705,492,"08/11/2021, 5:41","08/11/2021, 14:12",3,28,28,2889,51,arrived
24,1514,5,85,678,277,"14/02/2019, 23:56","15/02/2019, 18:14",11,17,17,1153,28,takeoff
25,840,3,88,971,483,"02/09/2020, 20:36","03/09/2020, 8:01",12,27,27,4039,48,arrived
26,895,7,9,759,183,"15/10/2022, 13:40","15/10/2022, 21:23",10,15,15,4897,47,delayed
27,1523,2,40,174,455,"24/05/2020, 23:50","25/05/2020, 22:39",20,8,8,4119,16,canceled
28,734,7,26,885,125,"04/11/2022, 5:50","04/11/2022, 23:29",19,3,3,2252,45,waiting for departure
29,1121,6,26,563,219,"18/02/2022, 10:38","18/02/2022, 18:28",16,29,29,2895,54,arrived
30,41,2,97,245,151,"24/05/2021, 15:03","24/05/2021, 19:44",18,19,19,1151,34,delayed
31,610,7,26,360,126,"28/07/2020, 16:49","29/07/2020, 0:45",12,5,5,1503,34,canceled
32,395,7,40,628,191,"25/01/2016, 17:52","26/01/2016, 1:39",10,3,3,2992,19,takeoff
33,1224,5,19,170,398,"10/05/2015, 9:19","10/05/2015, 12:36",19,5,5,4438,48,arrived
34,451,1,10,646,293,"30/09/2022, 2:36","30/09/2022, 12:29",4,30,30,3502,44,arrived
35,754,2,42,856,373,"23/08/2016, 4:05","23/08/2016, 9:52",7,26,26,1282,20,arrived
36,1815,3,24,409,330,"10/09/2019, 16:21","11/09/2019, 1:38",16,2,2,2707,17,delayed
37,676,3,85,694,228,"02/12/2020, 16:46","03/12/2020, 10:43",3,13,13,1343,44,takeoff
38,1306,7,63,725,143,"18/04/2022, 10:50","18/04/2022, 18:44",7,32,32,3810,2,takeoff
39,1071,8,28,173,444,"20/09/2016, 6:17","20/09/2016, 21:40",20,2,2,2212,38,canceled
40,410,8,74,774,314,"18/03/2017, 5:49","19/03/2017, 0:37",3,33,33,710,29,canceled
41,610,2,67,287,229,"28/04/2022, 15:49","29/04/2022, 0:50",20,6,6,2811,5,waiting for departure
42,1003,3,30,275,226,"29/02/2016, 16:24","01/03/2016, 1:42",13,29,29,4110,54,arrived
43,1477,2,73,490,343,"09/12/2020, 19:54","10/12/2020, 4:36",1,20,20,3563,11,canceled
44,1121,6,25,733,134,"25/06/2015, 6:13","25/06/2015, 14:46",23,3,3,1871,38,waiting for departure
45,961,2,37,573,109,"21/04/2016, 4:37","22/04/2016, 2:53",21,31,31,3596,34,arrived
46,161,4,91,485,132,"01/06/2018, 17:27","02/06/2018, 16:56",15,15,15,431,37,canceled
47,1409,7,18,271,116,"02/03/2018, 3:28","02/03/2018, 8:14",4,7,7,3201,24,arrived
48,1834,5,50,151,401,"08/04/2016, 17:14","09/04/2016, 12:44",18,17,17,3929,13,takeoff
49,1181,7,43,463,179,"09/11/2020, 11:39","09/11/2020, 15:39",22,28,28,2701,13,arrived
50,62,1,24,926,152,"26/02/2017, 22:31","27/02/2017, 2:42",9,3,3,4199,52,waiting for departure
51,1571,6,49,123,468,"16/02/2020, 0:04","16/02/2020, 18:47",14,13,13,2831,21,waiting for departure
52,1373,2,50,258,351,"06/06/2021, 2:47","07/06/2021, 1:25",16,28,28,1798,18,takeoff
53,137,8,56,810,231,"27/04/2019, 1:36","27/04/2019, 17:10",16,33,33,3374,47,arrived
54,280,8,34,187,168,"08/10/2022, 10:25","09/10/2022, 6:06",15,8,8,1846,42,delayed
55,969,2,78,317,103,"22/05/2022, 5:03","23/05/2022, 2:40",19,26,26,2921,45,takeoff
56,1435,3,66,618,424,"30/08/2021, 22:09","31/08/2021, 4:08",24,33,33,319,37,takeoff
57,346,3,87,168,352,"22/11/2020, 11:32","22/11/2020, 15:10",23,2,2,3441,6,delayed
58,25,6,9,183,281,"31/12/2015, 5:21","31/12/2015, 10:43",4,1,1,356,41,canceled
59,825,3,87,693,174,"02/05/2015, 9:45","03/05/2015, 8:28",5,33,33,1833,44,canceled
60,1536,6,15,880,100,"08/04/2018, 10:07","08/04/2018, 18:18",14,12,12,4275,6,waiting for departure
61,382,6,61,912,217,"31/12/2020, 2:40","31/12/2020, 20:26",3,27,27,534,31,arrived
62,962,4,23,127,194,"20/02/2016, 13:37","20/02/2016, 19:29",8,31,31,1580,51,delayed
63,820,7,8,647,455,"19/09/2021, 17:39","19/09/2021, 20:15",8,9,9,3780,48,waiting for departure
64,786,8,16,619,481,"03/12/2016, 9:47","04/12/2016, 1:45",9,17,17,1075,52,canceled
65,1468,3,47,694,217,"13/10/2018, 6:28","13/10/2018, 11:42",6,13,13,3671,24,canceled
66,1711,7,27,148,294,"30/12/2015, 15:28","31/12/2015, 12:49",10,10,10,1311,54,canceled
67,1927,1,61,462,156,"23/09/2018, 13:45","24/09/2018, 11:52",1,2,2,4805,44,canceled
68,931,8,18,533,482,"13/07/2018, 6:09","13/07/2018, 18:35",3,17,17,3743,55,takeoff
69,1607,5,32,803,473,"10/01/2022, 8:28","11/01/2022, 4:57",3,28,28,4748,18,takeoff
70,796,6,23,913,122,"26/11/2021, 23:04","27/11/2021, 16:36",2,14,14,1319,51,canceled
71,38,3,57,126,116,"28/04/2018, 3:38","28/04/2018, 13:51",19,27,27,1661,12,canceled
72,1173,7,48,202,216,"20/10/2018, 4:03","20/10/2018, 21:19",21,33,33,4537,39,delayed
