"ID","DEPARTURE_DATE","ARRIVAL_DATE","ROUTE_ID","AIRPLANE_ID","ARRIVAL_COST","DEPARTURE_COST","TOTAL_FUEL_COST"
2,"","",864,7,67093,44372,1395888
3,"19/11/2020","19/11/2020",2070,2,96374,79812,1654421
4,"","",918,1,83146,61368,1276928
5,"31/05/2021","01/06/2021",1618,2,37129,47932,1355337
6,"13/01/2016","14/01/2016",1805,6,82091,44602,1906106
7,"13/04/2019","14/04/2019",304,4,95317,85397,1296349
8,"","",1169,6,47788,54846,1008560
9,"10/11/2022","10/11/2022",311,4,70045,99598,1968700
10,"22/07/2017","23/07/2017",107,2,45822,51192,1518296
12,"01/01/2020","01/01/2020",263,6,48492,94611,1615154
13,"27/06/2022","27/06/2022",983,7,62386,73043,1867671
14,"31/07/2017","01/08/2017",629,6,80112,75648,1624331
15,"","",380,4,89279,66473,1305591
16,"10/11/2021","11/11/2021",1036,3,62120,77391,1294125
17,"","",867,4,80035,65044,1800164
18,"02/03/2015","03/03/2015",835,3,96643,98946,1174868
19,"","",1160,4,56634,48953,1640631
20,"15/02/2019","16/02/2019",179,5,57313,36097,1401879
22,"","",1903,6,79253,80447,1985497
24,"27/05/2017","28/05/2017",1311,2,54534,56936,1958106
25,"27/07/2018","28/07/2018",1176,4,68681,42493,1172964
26,"18/01/2017","19/01/2017",310,1,32677,65553,1059066
27,"","",1954,6,73229,46765,1811573
28,"15/12/2020","16/12/2020",866,4,63680,59204,1409673
29,"26/12/2019","26/12/2019",1816,5,65003,42046,1777469
30,"25/11/2018","26/11/2018",1149,3,99561,78765,1315709
31,"","",1925,5,90669,50903,1283334
32,"31/12/2015","01/01/2016",363,4,69109,35094,1838677
33,"22/11/2022","23/11/2022",1841,4,97754,50128,1423701
34,"17/09/2019","17/09/2019",739,5,48841,78194,1632398
35,"08/02/2017","08/02/2017",994,4,68751,88977,1134493
36,"10/02/2017","10/02/2017",981,3,45464,58386,1783822
37,"04/10/2020","05/10/2020",1413,5,84082,43957,1131793
38,"16/12/2016","17/12/2016",1220,2,57625,80193,1885464
39,"21/08/2021","22/08/2021",444,2,50924,68235,1491217
40,"","",1123,7,57438,61648,1638858
41,"08/07/2019","08/07/2019",134,1,64128,92593,1227048
43,"13/07/2016","14/07/2016",588,1,36250,87114,1092286
44,"22/07/2015","23/07/2015",1862,5,63240,65344,1611293
45,"22/05/2018","22/05/2018",129,6,85336,54023,1689277
46,"19/07/2018","20/07/2018",1554,5,32411,38239,1660421
47,"12/12/2020","13/12/2020",1281,7,64059,49287,1194208
48,"15/11/2016","15/11/2016",189,4,74128,98065,1340609
49,"03/07/2022","04/07/2022",913,7,37979,57161,1074202
50,"14/07/2021","14/07/2021",1597,5,54333,54684,1498417
51,"18/08/2020","18/08/2020",1802,3,38537,74813,1143872
52,"14/01/2015","14/01/2015",1650,4,33659,94528,1568830
